epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,923.004,1.29381,0.74408,1.00824,0.93097,0.94135,0.97066,0.57637,1.31216,0.75414,1.05717,0.0011684,0.0011684,0.0011684
44,944.03,1.27379,0.73647,1.01054,0.91744,0.91663,0.96703,0.58397,1.28807,0.77736,1.04965,0.0011486,0.0011486,0.0011486
45,965.264,1.26611,0.73217,1.00286,0.91029,0.91983,0.96281,0.55009,1.36211,0.80555,1.05738,0.0011288,0.0011288,0.0011288
46,986.56,1.27689,0.73561,1.01362,0.92484,0.9364,0.96753,0.58617,1.27785,0.73713,1.04826,0.001109,0.001109,0.001109
47,1007.64,1.2652,0.73039,1.00168,0.91139,0.92729,0.96764,0.55441,1.33476,0.80619,1.0553,0.0010892,0.0010892,0.0010892
48,1029,1.25214,0.72355,1.00186,0.94886,0.94426,0.97805,0.55617,1.3439,0.78001,1.06,0.0010694,0.0010694,0.0010694
49,1050.65,1.26469,0.73172,0.99642,0.93084,0.93294,0.9739,0.60011,1.22976,0.74229,1.03962,0.0010496,0.0010496,0.0010496
50,1072.06,1.24943,0.72751,1.00717,0.92185,0.92681,0.97171,0.595,1.24459,0.7489,1.04047,0.0010298,0.0010298,0.0010298
51,1093.76,1.24131,0.71757,0.99849,0.92539,0.92582,0.96697,0.58267,1.27175,0.74882,1.04652,0.00101,0.00101,0.00101
52,1115.33,1.2249,0.71634,0.99762,0.93708,0.93408,0.97593,0.58554,1.27553,0.73808,1.03935,0.0009902,0.0009902,0.0009902
53,1136.46,1.24028,0.71861,0.9966,0.92981,0.92473,0.96624,0.57207,1.25759,0.77266,1.0491,0.0009704,0.0009704,0.0009704
54,1158.88,1.23022,0.71906,0.99684,0.93316,0.93384,0.97155,0.58186,1.26855,0.76069,1.03649,0.0009506,0.0009506,0.0009506
55,1180.33,1.24195,0.72026,0.99832,0.91648,0.90959,0.96818,0.58771,1.26403,0.77354,1.03417,0.0009308,0.0009308,0.0009308
56,1201.5,1.21122,0.70763,0.9925,0.93062,0.9239,0.97095,0.55076,1.35515,0.80348,1.05824,0.000911,0.000911,0.000911
57,1222.76,1.22908,0.7144,1.00149,0.92372,0.92163,0.96469,0.58732,1.26032,0.75479,1.05244,0.0008912,0.0008912,0.0008912
58,1244.2,1.21913,0.70823,0.99598,0.92438,0.93022,0.96465,0.56433,1.28889,0.78923,1.0513,0.0008714,0.0008714,0.0008714
59,1265.42,1.20399,0.70679,0.98912,0.91194,0.9205,0.96394,0.57662,1.2831,0.78694,1.03727,0.0008516,0.0008516,0.0008516
60,1287.12,1.21272,0.70766,0.99212,0.92137,0.9176,0.96668,0.56828,1.29765,0.76479,1.04693,0.0008318,0.0008318,0.0008318
61,1308.54,1.21706,0.70771,0.99719,0.93114,0.94183,0.97032,0.59932,1.24543,0.71441,1.03949,0.000812,0.000812,0.000812
62,1329.72,1.20553,0.70524,0.99414,0.93063,0.93214,0.9725,0.59883,1.22159,0.7443,1.03568,0.0007922,0.0007922,0.0007922
63,1351.24,1.19896,0.70534,0.99428,0.93631,0.93352,0.97137,0.57868,1.27993,0.73134,1.04377,0.0007724,0.0007724,0.0007724
64,1372.79,1.1876,0.69838,0.99321,0.92758,0.93135,0.97136,0.59375,1.24077,0.75895,1.03317,0.0007526,0.0007526,0.0007526
65,1394.21,1.19142,0.69512,0.98452,0.92659,0.93611,0.97029,0.5979,1.22877,0.71672,1.03549,0.0007328,0.0007328,0.0007328
66,1416.03,1.18232,0.68243,0.98512,0.9246,0.92132,0.97152,0.60346,1.22233,0.71992,1.03225,0.000713,0.000713,0.000713
67,1437.83,1.18492,0.69104,0.98928,0.92018,0.90742,0.95844,0.54382,1.3163,0.79202,1.05807,0.0006932,0.0006932,0.0006932
68,1459.14,1.15213,0.68883,0.98361,0.92013,0.93068,0.96639,0.55965,1.2983,0.77219,1.04767,0.0006734,0.0006734,0.0006734
69,1480.83,1.1678,0.68328,0.97943,0.93472,0.93505,0.97402,0.56396,1.33505,0.7631,1.04653,0.0006536,0.0006536,0.0006536
70,1502.47,1.17413,0.68408,0.98412,0.92668,0.92584,0.96707,0.58627,1.23735,0.74183,1.03442,0.0006338,0.0006338,0.0006338
71,1523.9,1.1576,0.6759,0.98337,0.93163,0.92438,0.9709,0.57332,1.31025,0.75777,1.04224,0.000614,0.000614,0.000614
72,1545.18,1.1747,0.68386,0.98685,0.91472,0.93359,0.96268,0.60119,1.22507,0.72459,1.03402,0.0005942,0.0005942,0.0005942
73,1566.64,1.17771,0.67951,0.98539,0.93148,0.92916,0.96951,0.60777,1.21057,0.71685,1.035,0.0005744,0.0005744,0.0005744
74,1588.01,1.14879,0.67727,0.97948,0.92458,0.92697,0.96598,0.5691,1.31805,0.75106,1.04619,0.0005546,0.0005546,0.0005546
